Date,Open,High,Low,Close,Volume,Adj Close
2015-08-31,35.119999,35.790001,34.77,35.150002,4492200,35.008144
2015-08-28,36.240002,37.959999,34.50,35.25,4794800,35.107739
2015-08-27,35.610001,36.990002,35.119999,36.43,2802900,36.282977
2015-08-26,35.529999,36.00,34.75,35.450001,3528700,35.306933
2015-08-25,37.32,37.32,34.73,34.73,3019400,34.589837
2015-08-24,30.92,34.439999,29.83,34.34,7502100,34.201412
2015-08-21,38.360001,39.200001,36.220001,36.459999,6894300,36.312855
2015-08-20,40.119999,40.41,39.650002,39.669998,4592900,39.509899
2015-08-19,39.540001,40.75,39.470001,40.290001,2645900,40.1274
2015-08-18,40.060001,40.900002,39.794998,39.919998,4181800,39.75889
2015-08-17,39.549999,40.549999,39.09,40.349998,5575700,40.187155
2015-08-14,38.25,39.52,38.112,39.439999,4071300,39.280828
2015-08-13,38.060001,38.869999,37.75,38.25,5792900,38.095632
2015-08-12,38.130001,38.560001,37.900002,38.110001,4018200,37.956197
2015-08-11,38.950001,39.080002,38.00,38.720001,5567400,38.563736
2015-08-10,37.959999,40.240002,37.869999,39.790001,7011600,39.629418
2015-08-07,37.459999,37.939999,36.972,37.599998,4557400,37.448253
2015-08-06,37.380001,38.439999,37.360001,37.389999,5781100,37.239102
2015-08-05,37.200001,38.25,36.209999,37.299999,7187500,37.149465
2015-08-04,36.860001,39.75,36.139999,37.099998,41139400,36.950271
2015-08-03,32.580002,33.59,32.50,33.150002,5183400,33.016216
2015-07-31,32.16,33.00,31.91,32.830002,6420900,32.697507
2015-07-30,30.51,32.150002,30.450001,31.91,5621700,31.781218
2015-07-29,30.809999,32.380001,30.60,30.92,8018100,30.795214
2015-07-28,30.559999,30.74,30.02,30.440001,5111300,30.317152
2015-07-27,30.799999,31.110001,30.10,30.60,5341100,30.476506
2015-07-24,30.959999,32.25,30.59,30.889999,4566500,30.765334
2015-07-23,32.150002,32.25,30.74,31.290001,4578100,31.163722
2015-07-22,31.870001,32.18,31.50,31.84,2855800,31.711501
2015-07-21,32.279999,32.52,31.84,32.209999,2319800,32.080007
2015-07-20,32.50,32.720001,32.279999,32.380001,2204400,32.249323
2015-07-17,31.459999,32.990002,31.200001,32.689999,5829800,32.558069
2015-07-16,31.120001,32.07,30.969999,31.459999,8446500,31.333034
2015-07-15,30.25,31.049999,30.15,30.969999,6800100,30.845011
2015-07-14,29.91,30.540001,29.83,30.469999,6237100,30.347029
2015-07-13,30.68,31.08,30.120001,30.23,5388600,30.107998
2015-07-10,30.530001,30.950001,30.129999,30.85,5027800,30.725497
2015-07-09,31.309999,31.549999,30.01,30.059999,6773300,29.938684
2015-07-08,31.50,32.200001,31.09,31.15,5131600,31.024285
2015-07-07,31.700001,32.02,31.25,31.940001,6524000,31.811098
2015-07-06,30.799999,31.75,30.33,31.709999,5942200,31.582025
2015-07-02,31.59,32.400002,30.879999,31.030001,11614700,30.904771
2015-07-01,32.880001,34.50,30.58,31.50,14868300,31.372873
2015-06-30,33.650002,33.75,31.75,31.940001,6304800,31.811098
2015-06-29,33.00,33.75,33.00,33.09,3321300,32.956456
2015-06-26,32.599998,33.900002,32.470001,33.150002,638800,33.016216
2015-06-25,32.75,33.75,32.75,32.900002,1446300,32.767225
2015-06-24,33.540001,33.580002,32.360001,32.75,1874200,32.617829
2015-06-23,32.389999,32.389999,31.790001,32.25,1359200,32.119846
2015-06-22,32.720001,32.720001,31.52,31.950001,1956900,31.821058
2015-06-19,32.75,32.75,31.780001,31.889999,1409300,31.761299
2015-06-18,31.99,32.849998,31.50,32.490002,2010300,32.358879
2015-06-17,33.049999,34.09,31.950001,32.049999,797400,31.920653
2015-06-16,33.75,34.00,32.75,32.939999,4433200,32.80706
2015-06-15,34.00,34.950001,33.50,33.50,938800,33.364802
